,sample_name,smartseq_cluster_id,smartseq_cluster,sex_label,smartseq_cluster_color,medical_cond_label,cell_counts,n_genes,percent_mito,pass_count_filter,pass_mito_filter
SQ-80008_S03_E1-50,SQ-80008_S03_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,970916.6,6599,0.0,True,True
SQ-80008_S12_E1-50,SQ-80008_S12_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,960119.0,9761,0.0,True,True
SQ-80008_S29_E1-50,SQ-80008_S29_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,969019.56,9448,0.0,True,True
SQ-80008_S61_E1-50,SQ-80008_S61_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,961038.44,9507,0.0,True,True
SQ-80008_S63_E1-50,SQ-80008_S63_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,951816.06,8741,0.0,True,True
SQ-80011_S42_E1-50,SQ-80011_S42_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - aggression,959665.3,10493,0.0,True,True
SQ-80011_S53_E1-50,SQ-80011_S53_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,952780.56,9649,0.0,True,True
SQ-80012_S11_E1-50,SQ-80012_S11_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,956699.6,9306,0.0,True,True
SQ-80012_S13_E1-50,SQ-80012_S13_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,955061.6,8645,0.0,True,True
SQ-80012_S27_E1-50,SQ-80012_S27_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - mating,950838.1,9719,0.0,True,True
SQ-80012_S28_E1-50,SQ-80012_S28_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,957487.25,9543,0.0,True,True
LS-15910_S34_E1-50,LS-15910_S34_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,955077.5,10041,0.0,True,True
LS-15910_S47_E1-50,LS-15910_S47_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,953535.5,10966,0.0,True,True
LS-15916_S35_E1-50,LS-15916_S35_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,957505.06,9377,0.0,True,True
LS-15916_S47_E1-50,LS-15916_S47_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,940449.25,9158,0.0,True,True
LS-15917_S35_E1-50,LS-15917_S35_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,961493.3,9258,0.0,True,True
LS-15917_S45_E1-50,LS-15917_S45_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,958617.8,9283,0.0,True,True
LS-15917_S48_E1-50,LS-15917_S48_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,939326.2,9660,0.0,True,True
LS-15918_S33_E1-50,LS-15918_S33_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,959769.7,8813,0.0,True,True
LS-15918_S36_E1-50,LS-15918_S36_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,957927.94,8350,0.0,True,True
LS-15918_S83_E1-50,LS-15918_S83_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,963332.5,10444,0.0,True,True
LS-15918_S93_E1-50,LS-15918_S93_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,964189.56,8272,0.0,True,True
LS-15919_S06_E1-50,LS-15919_S06_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,944185.06,10667,0.0,True,True
LS-15919_S07_E1-50,LS-15919_S07_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,962661.0,10055,0.0,True,True
LS-15919_S24_E1-50,LS-15919_S24_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,961921.44,11289,0.0,True,True
LS-15919_S90_E1-50,LS-15919_S90_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,974497.06,9864,0.0,True,True
LS-15922_S05_E1-50,LS-15922_S05_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,958910.25,9488,0.0,True,True
